"id","name","isFork","commits","branches","releases","forks","mainLanguage","defaultBranch","license","homepage","watchers","stargazers","contributors","size","createdAt","pushedAt","updatedAt","totalIssues","openIssues","totalPullRequests","openPullRequests","blankLines","codeLines","commentLines","metrics","lastCommit","lastCommitSHA","hasWiki","isArchived","isDisabled","isLocked","languages","labels","topics"
"3620","haraldk/twelvemonkeys",false,"1998","17","36","321","Java","master","BSD 3-Clause New or Revised License","https://haraldk.github.io/TwelveMonkeys/","89","1986","33","299523","2009-09-03T05:44:28","2025-04-14T08:59:41","2025-04-14T08:59:37","693","56","442","7","24940","108363","47966","[{""language"":""XML"",""commentLines"":0,""codeLines"":146,""blankLines"":145},{""language"":""C++"",""commentLines"":178,""codeLines"":958,""blankLines"":136},{""language"":""Text"",""commentLines"":0,""codeLines"":570,""blankLines"":137},{""language"":""Java"",""commentLines"":47330,""codeLines"":94309,""blankLines"":23911},{""language"":""IDL"",""commentLines"":108,""codeLines"":8619,""blankLines"":115},{""language"":""Properties"",""commentLines"":118,""codeLines"":78,""blankLines"":8},{""language"":""YAML"",""commentLines"":41,""codeLines"":204,""blankLines"":27},{""language"":""Markdown"",""commentLines"":7,""codeLines"":536,""blankLines"":224},{""language"":""HTML"",""commentLines"":0,""codeLines"":239,""blankLines"":0},{""language"":""CSS"",""commentLines"":14,""codeLines"":10,""blankLines"":5},{""language"":""SVG"",""commentLines"":82,""codeLines"":378,""blankLines"":51},{""language"":""Maven"",""commentLines"":18,""codeLines"":2264,""blankLines"":157},{""language"":""DTD"",""commentLines"":70,""codeLines"":52,""blankLines"":24}]","2025-04-14T08:59:33","9fa9bc5fe09b4fc855d7ad2006cbecf699350abe",true,false,false,false,"{""Java"":6546411,""C++"":32416,""HTML"":12047,""CSS"":976}","confirmed bug;dependencies;github_actions;java;new feature;optimization;reported bug;sponsor needed;task;trouble-shooting","bmp;icc-profiles;icns;iff;imageio;java;java-imageio;jpeg;pbm;pcx;pgm;pict;plug-ins;ppm;psd;svg;tga;tiff;twelvemonkeys-imageio;webp"
"8116","aws/aws-sdk-java",false,"4454","34","0","2823","Java","master","Apache License 2.0","https://aws.amazon.com/sdkforjava","291","4147","145","6576672","2010-03-22T11:34:58","2025-02-19T09:46:53","2025-02-19T09:47:17","2357","1","575","0","2757242","36572978","10689366","[{""language"":""DOS Batch"",""commentLines"":0,""codeLines"":15,""blankLines"":0},{""language"":""JSON"",""commentLines"":0,""codeLines"":27273788,""blankLines"":8},{""language"":""CSS"",""commentLines"":90,""codeLines"":1153,""blankLines"":131},{""language"":""Maven"",""commentLines"":1058,""codeLines"":40068,""blankLines"":1408},{""language"":""DTD"",""commentLines"":0,""codeLines"":1,""blankLines"":0},{""language"":""HTML"",""commentLines"":0,""codeLines"":92,""blankLines"":11},{""language"":""Cucumber"",""commentLines"":57,""codeLines"":600,""blankLines"":122},{""language"":""XML"",""commentLines"":8,""codeLines"":102,""blankLines"":1},{""language"":""Bourne Shell"",""commentLines"":0,""codeLines"":14,""blankLines"":0},{""language"":""YAML"",""commentLines"":18,""codeLines"":542,""blankLines"":50},{""language"":""Markdown"",""commentLines"":0,""codeLines"":20900,""blankLines"":6493},{""language"":""Freemarker Template"",""commentLines"":52,""codeLines"":4167,""blankLines"":637},{""language"":""Ant"",""commentLines"":37,""codeLines"":180,""blankLines"":33},{""language"":""Java"",""commentLines"":10688046,""codeLines"":9231356,""blankLines"":2748348}]","2025-02-19T09:45:55","bdca0550fc15769618a51338f5f2f84bc603a1cf",false,false,false,false,"{""Java"":1022720519,""FreeMarker"":192196,""Gherkin"":25063,""Scilab"":5966,""Shell"":442,""Batchfile"":373}","blocked;breaking-change;bug;closed-for-staleness;closing-soon;contribution/core;dependencies;documentation;duplicate;dynamodb-local;feature-request;guidance;help wanted;investigating;needs-discussion;needs-major-version;needs-reproduction;needs-review;needs-triage;no-auto-closure;p0;p1;p2;p3;pending-release;potential-regression;pr/blocked;pr/breaking-change;pr/do-not-merge;pr/needs-review;pr/needs-tests;pr/ready-to-merge;pr/work-in-progress;response-requested;security;service-api;third-party;wontfix","amazon;aws;aws-sdk;java"
"10347","apache/jmeter",false,"18302","6","10","2155","Java","master","Apache License 2.0","https://jmeter.apache.org/","320","8657","80","133343","2010-05-26T11:38:07","2025-03-25T08:35:47","2025-03-26T06:02:19","5362","856","1056","59","43248","340752","86547","[{""language"":""Java"",""commentLines"":68564,""codeLines"":148739,""blankLines"":30000},{""language"":""Kotlin"",""commentLines"":3974,""codeLines"":9486,""blankLines"":1704},{""language"":""Gradle"",""commentLines"":1458,""codeLines"":3326,""blankLines"":505},{""language"":""XML"",""commentLines"":1964,""codeLines"":120654,""blankLines"":3782},{""language"":""JSON"",""commentLines"":0,""codeLines"":2001,""blankLines"":0},{""language"":""XSD"",""commentLines"":0,""codeLines"":61,""blankLines"":21},{""language"":""Groovy"",""commentLines"":22,""codeLines"":1,""blankLines"":0},{""language"":""SVG"",""commentLines"":12,""codeLines"":11556,""blankLines"":12},{""language"":""CSS"",""commentLines"":186,""codeLines"":2839,""blankLines"":200},{""language"":""INI"",""commentLines"":0,""codeLines"":32,""blankLines"":6},{""language"":""Text"",""commentLines"":0,""codeLines"":585,""blankLines"":148},{""language"":""HTML"",""commentLines"":241,""codeLines"":2299,""blankLines"":468},{""language"":""JavaScript"",""commentLines"":3603,""codeLines"":14579,""blankLines"":3933},{""language"":""JSP"",""commentLines"":14,""codeLines"":19,""blankLines"":2},{""language"":""Bourne Shell"",""commentLines"":440,""codeLines"":289,""blankLines"":105},{""language"":""Ant"",""commentLines"":30,""codeLines"":102,""blankLines"":28},{""language"":""make"",""commentLines"":2,""codeLines"":6,""blankLines"":4},{""language"":""Properties"",""commentLines"":5258,""codeLines"":13104,""blankLines"":615},{""language"":""CSV"",""commentLines"":0,""codeLines"":1213,""blankLines"":0},{""language"":""Less"",""commentLines"":50,""codeLines"":1540,""blankLines"":96},{""language"":""DOS Batch"",""commentLines"":376,""codeLines"":275,""blankLines"":137},{""language"":""SCSS"",""commentLines"":39,""codeLines"":1278,""blankLines"":30},{""language"":""DTD"",""commentLines"":16,""codeLines"":10,""blankLines"":11},{""language"":""XSLT"",""commentLines"":240,""codeLines"":2164,""blankLines"":238},{""language"":""YAML"",""commentLines"":21,""codeLines"":441,""blankLines"":18},{""language"":""Markdown"",""commentLines"":11,""codeLines"":2862,""blankLines"":1155},{""language"":""Sass"",""commentLines"":26,""codeLines"":1291,""blankLines"":30}]","2025-03-25T08:35:47","9c64fd2d2701d6bea5402f60dd03db8d2868018a",false,false,false,false,"{""Java"":9178712,""Kotlin"":583699,""HTML"":93440,""XSLT"":91403,""JavaScript"":36223,""Batchfile"":25552,""Shell"":24265,""CSS"":23066,""Less"":6310,""Groovy"":1083}","chore;defect;dependencies;documentation;duplicate;enhancement;help-wanted;invalid;keyword: apibug;keyword: beginner;keyword: errormessage;keyword: faq;keyword: fixedintrunk;keyword: jdk1.5;keyword: jdk9;keyword: massupdate;keyword: needsreleasenote;keyword: nofeedbackfromreporter;keyword: patchavailable;keyword: regression;keyword: rfc;keyword: testid;need info;os: all;os: linux;os: macos;os: other;os: windows;p1;p2;p3;p4;p5;performance;regression;returned-with-feedback;tests;to-triage;wontfix","java;performance;test"
"10353","apache/mina-sshd",false,"3017","10","9","371","Java","master","Apache License 2.0","https://mina.apache.org/sshd-project/","40","959","76","20986","2010-05-26T11:38:08","2025-04-14T06:57:40","2025-04-14T06:57:37","254","59","477","8","28917","158753","54696","[{""language"":""DOS Batch"",""commentLines"":125,""codeLines"":280,""blankLines"":119},{""language"":""Maven"",""commentLines"":436,""codeLines"":3517,""blankLines"":275},{""language"":""XML"",""commentLines"":327,""codeLines"":1194,""blankLines"":90},{""language"":""Bourne Shell"",""commentLines"":261,""codeLines"":929,""blankLines"":201},{""language"":""SVG"",""commentLines"":0,""codeLines"":1912,""blankLines"":0},{""language"":""Java"",""commentLines"":53360,""codeLines"":141349,""blankLines"":26045},{""language"":""Text"",""commentLines"":0,""codeLines"":4898,""blankLines"":522},{""language"":""Python"",""commentLines"":90,""codeLines"":237,""blankLines"":80},{""language"":""Properties"",""commentLines"":18,""codeLines"":4,""blankLines"":1},{""language"":""YAML"",""commentLines"":76,""codeLines"":244,""blankLines"":25},{""language"":""Markdown"",""commentLines"":3,""codeLines"":4189,""blankLines"":1559}]","2025-04-14T06:57:32","8764edd20336e2864108cb4ecae821e82d42deb1",false,false,false,false,"{""Java"":8853858,""Shell"":37390,""Batchfile"":15035,""Python"":11690,""HTML"":6129,""Dockerfile"":1257}","bug;dependencies;duplicate;feature request;java;need info;not sshd;releng;wont fix","apache;java;library;ssh"
"20130","plantuml/plantuml",false,"2119","42","53","1029","Java","master","Other","https://plantuml.com","157","11324","89","332427","2010-11-04T03:55:50","2025-04-14T05:03:58","2025-04-16T01:11:13","1295","497","667","5","63370","281333","160663","[{""language"":""Markdown"",""commentLines"":10,""codeLines"":3707,""blankLines"":1204},{""language"":""Gradle"",""commentLines"":55,""codeLines"":1155,""blankLines"":158},{""language"":""Bourne Shell"",""commentLines"":166,""codeLines"":313,""blankLines"":85},{""language"":""PlantUML"",""commentLines"":840,""codeLines"":14165,""blankLines"":2199},{""language"":""Properties"",""commentLines"":2,""codeLines"":61,""blankLines"":0},{""language"":""SVG"",""commentLines"":0,""codeLines"":1898,""blankLines"":0},{""language"":""JavaScript"",""commentLines"":1106,""codeLines"":7703,""blankLines"":1439},{""language"":""Ant"",""commentLines"":31,""codeLines"":96,""blankLines"":15},{""language"":""YAML"",""commentLines"":36,""codeLines"":657,""blankLines"":80},{""language"":""HTML"",""commentLines"":115,""codeLines"":49,""blankLines"":62},{""language"":""Text"",""commentLines"":0,""codeLines"":4477,""blankLines"":183},{""language"":""CSS"",""commentLines"":0,""codeLines"":77,""blankLines"":16},{""language"":""INI"",""commentLines"":0,""codeLines"":27,""blankLines"":6},{""language"":""TOML"",""commentLines"":5,""codeLines"":36,""blankLines"":6},{""language"":""DOS Batch"",""commentLines"":2,""codeLines"":66,""blankLines"":21},{""language"":""Java"",""commentLines"":158290,""codeLines"":231789,""blankLines"":57870},{""language"":""TypeScript"",""commentLines"":4,""codeLines"":88,""blankLines"":16},{""language"":""Dockerfile"",""commentLines"":1,""codeLines"":50,""blankLines"":10},{""language"":""JSON"",""commentLines"":0,""codeLines"":14919,""blankLines"":0}]","2025-04-09T08:27:50","ebd05d8f59597de1e43bf7d0b633d1cd6b8ef48e",true,false,false,false,"{""Java"":14496564,""Kotlin"":30543,""JavaScript"":13068,""HTML"":7397,""Shell"":5652,""CSS"":2259,""Dockerfile"":1752}","bug;dependencies;documentation;duplicate;enhancement;github_actions;good first issue;help wanted;invalid;java;javascript;m:docker;m:docs;m:gradle;m:json;m:license;m:native;m:puma;m:release;m:source;m:teoz;m:test;m:workflow;p:backlog;p:done;p:ready-to-implement;p:wip;style;t:discussion;t:docker;t:info-needed;t:licensing;t:plantuml.com;triage;wontfix","diagram;diagram-as-code;diagrams;diagrams-as-code;java;plantuml;uml;uml-diagram"
"20714","spring-projects/spring-batch",false,"6552","16","53","2388","Java","main","Apache License 2.0","http://projects.spring.io/spring-batch/","237","2784","202","105431","2010-11-17T05:53:45","2025-03-21T10:19:04","2025-03-22T10:57:50","3543","271","1186","25","37477","213464","60408","[{""language"":""SQL"",""commentLines"":73,""codeLines"":1613,""blankLines"":225},{""language"":""AsciiDoc"",""commentLines"":65,""codeLines"":11600,""blankLines"":2544},{""language"":""DOS Batch"",""commentLines"":0,""codeLines"":147,""blankLines"":35},{""language"":""XSD"",""commentLines"":6,""codeLines"":6642,""blankLines"":192},{""language"":""Java"",""commentLines"":60066,""codeLines"":114676,""blankLines"":32081},{""language"":""YAML"",""commentLines"":3,""codeLines"":439,""blankLines"":61},{""language"":""JSON"",""commentLines"":0,""codeLines"":658,""blankLines"":1},{""language"":""Properties"",""commentLines"":16,""codeLines"":19,""blankLines"":0},{""language"":""Text"",""commentLines"":0,""codeLines"":1345,""blankLines"":33},{""language"":""CSV"",""commentLines"":0,""codeLines"":60784,""blankLines"":0},{""language"":""Maven"",""commentLines"":27,""codeLines"":2076,""blankLines"":60},{""language"":""SVG"",""commentLines"":0,""codeLines"":3,""blankLines"":0},{""language"":""XML"",""commentLines"":75,""codeLines"":11355,""blankLines"":1608},{""language"":""Bourne Shell"",""commentLines"":62,""codeLines"":215,""blankLines"":33},{""language"":""JavaScript"",""commentLines"":4,""codeLines"":18,""blankLines"":2},{""language"":""Markdown"",""commentLines"":11,""codeLines"":1857,""blankLines"":602},{""language"":""HTML"",""commentLines"":0,""codeLines"":17,""blankLines"":0}]","2025-03-21T10:18:50","2bd5b840643943bd6827b10e6092e93cbb73d1d9",true,false,false,false,"{""Java"":6766973,""JavaScript"":1527}","for: backport-to-4.2.x;for: backport-to-4.3.x;for: backport-to-5.0.x;for: backport-to-5.1.x;for: external-project;for: stackoverflow;has: backports;has: minimal-example;has: votes;in: build;in: core;in: documentation;in: infrastructure;in: integration;in: samples;in: test;pr-for: bug;pr-for: enhancement;pr-for: feature;pr-for: task;related-to: batch-scopes;related-to: ddl-scripts;related-to: fault-tolerance;related-to: flow-definition;related-to: infrastructure-configuration;related-to: item-readers-writers;related-to: job-repository;related-to: jsr-352;related-to: multi-threading;related-to: native;related-to: observability;related-to: optimistic-locking;related-to: performance;related-to: transaction-management;status: declined;status: duplicate;status: feedback-provided;status: first-timers-only;status: for-internal-team;status: ideal-for-contribution;status: invalid;status: need-help-to-reproduce;status: superseded;status: waiting-for-reporter;status: waiting-for-triage;type: bug;type: enhancement;type: feature;type: holder;type: task","batch;batch-processing;java;spring"
"41021","java-native-access/jna",false,"4193","5","0","1684","Java","master","Other",,"382","8647","165","702645","2011-04-29T01:30:29","2025-03-16T11:48:45","2025-03-16T11:48:30","803","93","848","14","34361","163556","119038","[{""language"":""Java"",""commentLines"":102740,""codeLines"":90320,""blankLines"":21423},{""language"":""Assembly"",""commentLines"":4905,""codeLines"":11665,""blankLines"":2318},{""language"":""Properties"",""commentLines"":3,""codeLines"":66,""blankLines"":0},{""language"":""Expect"",""commentLines"":480,""codeLines"":928,""blankLines"":242},{""language"":""C++"",""commentLines"":18,""codeLines"":128,""blankLines"":25},{""language"":""Windows Resource File"",""commentLines"":27,""codeLines"":28,""blankLines"":3},{""language"":""Fortran 77"",""commentLines"":0,""codeLines"":21,""blankLines"":0},{""language"":""HTML"",""commentLines"":320,""codeLines"":830,""blankLines"":243},{""language"":""Bourne Again Shell"",""commentLines"":204,""codeLines"":820,""blankLines"":79},{""language"":""XML"",""commentLines"":127,""codeLines"":1868,""blankLines"":63},{""language"":""M4"",""commentLines"":48,""codeLines"":2024,""blankLines"":146},{""language"":""Text"",""commentLines"":0,""codeLines"":42,""blankLines"":11},{""language"":""Python"",""commentLines"":0,""codeLines"":248,""blankLines"":71},{""language"":""C"",""commentLines"":7578,""codeLines"":39881,""blankLines"":7396},{""language"":""PHP"",""commentLines"":45,""codeLines"":401,""blankLines"":89},{""language"":""Bourne Shell"",""commentLines"":686,""codeLines"":4355,""blankLines"":240},{""language"":""Visual Studio Solution"",""commentLines"":1,""codeLines"":31,""blankLines"":1},{""language"":""C/C++ Header"",""commentLines"":1292,""codeLines"":2608,""blankLines"":786},{""language"":""Perl"",""commentLines"":103,""codeLines"":172,""blankLines"":58},{""language"":""YAML"",""commentLines"":26,""codeLines"":656,""blankLines"":80},{""language"":""Markdown"",""commentLines"":5,""codeLines"":3183,""blankLines"":770},{""language"":""Ant"",""commentLines"":315,""codeLines"":2609,""blankLines"":232},{""language"":""make"",""commentLines"":115,""codeLines"":672,""blankLines"":85}]","2025-03-16T11:45:35","a9db983d2211eab6f073225e3b9ffa82cd00267e",true,false,false,false,"{""Java"":8024423,""C"":1726394,""Assembly"":464856,""M4"":85212,""Shell"":79078,""HTML"":52676,""Makefile"":31294,""Roff"":30051,""Python"":10811,""Perl"":9021,""C++"":6918}","bug;bug?;dependencies;documentation;feature request;fixed in branch;needs info;needs work;question;unit tests",""
"43630","jodaorg/joda-time",false,"2301","15","50","987","Java","main","Apache License 2.0","http://www.joda.org/joda-time/","216","4982","91","12937","2011-05-16T04:49:57","2025-03-29T01:20:36","2025-03-29T01:15:52","452","27","351","11","17642","98596","45161","[{""language"":""Java"",""commentLines"":44913,""codeLines"":88362,""blankLines"":15815},{""language"":""Maven"",""commentLines"":47,""codeLines"":1066,""blankLines"":14},{""language"":""Properties"",""commentLines"":3,""codeLines"":731,""blankLines"":0},{""language"":""Markdown"",""commentLines"":0,""codeLines"":458,""blankLines"":158},{""language"":""Bourne Shell"",""commentLines"":0,""codeLines"":18,""blankLines"":6},{""language"":""Text"",""commentLines"":0,""codeLines"":231,""blankLines"":67},{""language"":""CSS"",""commentLines"":5,""codeLines"":83,""blankLines"":1},{""language"":""HTML"",""commentLines"":96,""codeLines"":308,""blankLines"":47},{""language"":""JSON"",""commentLines"":0,""codeLines"":5,""blankLines"":0},{""language"":""YAML"",""commentLines"":8,""codeLines"":286,""blankLines"":49},{""language"":""XML"",""commentLines"":89,""codeLines"":7048,""blankLines"":1485}]","2025-03-29T01:15:47","20e94ae0b56d02abdbaa374912da6d01f5e1dc6f",false,false,false,false,"{""Java"":5927255,""HTML"":16833,""CSS"":1591,""Shell"":510}","bug;dependencies;discussion;fixed;hard;java8;needsinvestigation;notabug;rfe;task;tzdb;v3;wontfix","date-time;java;joda;joda-time"
"57469","querydsl/querydsl",false,"8083","71","35","881","Java","master","Apache License 2.0","https://querydsl.com","156","4851","109","51682","2011-08-05T06:46:32","2025-04-17T12:09:45","2025-04-17T01:16:49","2044","55","1703","51","36704","136776","45033","[{""language"":""Puppet"",""commentLines"":2,""codeLines"":43,""blankLines"":15},{""language"":""Java"",""commentLines"":43598,""codeLines"":118922,""blankLines"":33062},{""language"":""Text"",""commentLines"":0,""codeLines"":869,""blankLines"":194},{""language"":""Properties"",""commentLines"":54,""codeLines"":116,""blankLines"":29},{""language"":""Kotlin"",""commentLines"":445,""codeLines"":1111,""blankLines"":182},{""language"":""XML"",""commentLines"":79,""codeLines"":5211,""blankLines"":1221},{""language"":""Bourne Shell"",""commentLines"":4,""codeLines"":54,""blankLines"":9},{""language"":""Scala"",""commentLines"":405,""codeLines"":2522,""blankLines"":1104},{""language"":""Clojure"",""commentLines"":6,""codeLines"":33,""blankLines"":8},{""language"":""XSLT"",""commentLines"":179,""codeLines"":594,""blankLines"":169},{""language"":""YAML"",""commentLines"":7,""codeLines"":197,""blankLines"":23},{""language"":""Markdown"",""commentLines"":28,""codeLines"":612,""blankLines"":194},{""language"":""Ant"",""commentLines"":1,""codeLines"":57,""blankLines"":12},{""language"":""SVG"",""commentLines"":0,""codeLines"":1,""blankLines"":0},{""language"":""SQL"",""commentLines"":0,""codeLines"":125,""blankLines"":25},{""language"":""CSS"",""commentLines"":8,""codeLines"":188,""blankLines"":47},{""language"":""Maven"",""commentLines"":217,""codeLines"":6121,""blankLines"":410}]","2025-02-01T12:33:54","dd905aebf987599044e20b5822e7f035cee6a868",true,false,false,false,"{""Java"":6477027,""Scala"":135246,""Kotlin"":79478,""XSLT"":35687,""CSS"":3436,""Shell"":2068,""Clojure"":1890,""Puppet"":1212,""Ruby"":389}","backport;bug;codegen;dependencies;docs;feature;good first issue;hibernate;infra;java;jpa;mongo;needs tests;postponed;progress;question;resolved;security;spatial;sql;waiting-for-feedback;wontfix",""
"57972","stripe/stripe-java",false,"2897","54","786","367","Java","master","MIT License","https://stripe.com","49","859","148","851911","2011-08-09T12:06:31","2025-04-18T04:52:36","2025-04-17T10:52:25","435","19","1539","3","85134","343593","176029","[{""language"":""Java"",""commentLines"":175875,""codeLines"":337475,""blankLines"":84102},{""language"":""Properties"",""commentLines"":6,""codeLines"":29,""blankLines"":5},{""language"":""DOS Batch"",""commentLines"":2,""codeLines"":66,""blankLines"":21},{""language"":""Bourne Shell"",""commentLines"":108,""codeLines"":99,""blankLines"":27},{""language"":""INI"",""commentLines"":0,""codeLines"":13,""blankLines"":4},{""language"":""Markdown"",""commentLines"":9,""codeLines"":3548,""blankLines"":888},{""language"":""Gradle"",""commentLines"":28,""codeLines"":227,""blankLines"":44},{""language"":""make"",""commentLines"":1,""codeLines"":15,""blankLines"":4},{""language"":""YAML"",""commentLines"":0,""codeLines"":297,""blankLines"":37},{""language"":""JSON"",""commentLines"":0,""codeLines"":1824,""blankLines"":2}]","2025-04-11T10:14:23","966b207b46937ebe4bcd3f600809a8516c643bae",true,false,false,false,"{""Java"":21903077,""Just"":1376,""Makefile"":1105}","approved;breaking-api-change;bug;bypass;feature-request;future","java;stripe;stripe-sdk"
