id,name
3620,haraldk/twelvemonkeys
8116,aws/aws-sdk-java
10347,apache/jmeter
10353,apache/mina-sshd
20130,plantuml/plantuml
20714,spring-projects/spring-batch
41021,java-native-access/jna
43630,jodaorg/joda-time
57469,querydsl/querydsl
57972,stripe/stripe-java
66892,opensagres/xdocreport
74674,gephi/gephi
77381,alibaba/druid
77382,chocoteam/choco-solver
87201,broadleafcommerce/broadleafcommerce
90562,marytts/marytts
132659,wala/wala
152545,plutext/docx4j
157212,thymeleaf/thymeleaf
173856,apache/dubbo
204862,libgdx/libgdx
221254,apache/drill
227594,activiti/activiti
255623,vaadin/framework
276065,neo4j/neo4j
293250,linkedin/rest.li
308998,alluxio/alluxio
311101,lwjgl/lwjgl3
340558,processing/processing
367372,owlcs/owlapi
440939,gwtproject/gwt
450384,jitsi/jitsi
470384,opensourcebim/bimserver
502187,bcgit/bc-java
537490,stanfordnlp/corenlp
805273,apache/storm
841234,hotswapprojects/hotswapagent
850705,raphw/byte-buddy
928120,redisson/redisson
968790,mucommander/mucommander
977180,real-logic/aeron
1019935,ehcache/ehcache3
1051900,bisq-network/bisq
1146512,bytedeco/javacpp-presets
1289433,opengamma/strata
1344963,aws-amplify/aws-sdk-android
1354688,blazebit/blaze-persistence
1516130,payara/payara
1887537,yacy/yacy_search_server
1997498,h2database/h2database
2486002,findbugsproject/findbugs
2542978,sonatype/nexus-public
2656758,dsheirer/sdrtrunk
2732893,evosuite/evosuite
2881467,metasfresh/metasfresh
3031961,eclipse/eclipse-collections
3260890,lawnchairlauncher/lawnchair
3262199,tencent/tencentkona-8
3266952,linlinjava/litemall
3267648,cuba-platform/cuba
3267663,eclipse/milo
3268978,rptools/maptool
3271172,mobivm/robovm
3272400,jmonkeyengine/jmonkeyengine
3272410,gchq/gaffer
3273218,librepdf/openpdf
3273229,netflix/genie
3273238,smartbear/soapui
3273248,codenameone/codenameone
3275784,apache/servicecomb-java-chassis
3275788,tlaplus/tlaplus
3275800,springdoc/springdoc-openapi
3275832,spring-projects/sts4
3275857,openidentityplatform/openam
3276743,wechat-group/wxjava
3277647,alibaba/nacos
3277679,ant-media/ant-media-server
3277681,kubernetes-client/java
3277684,pravega/pravega
3277910,apache/plc4x
3279806,haifengl/smile
3279828,logicalclocks/hopsworks
4150620,yunaiv/ruoyi-vue-pro
10298892,dromara/hutool
51532578,androidx/media
69318620,keyfactor/ejbca-ce
69717748,grasscutters/grasscutter
70063877,yunaiv/yudao-cloud
70208479,apache/shenyu
70402255,deeplearning4j/deeplearning4j
70444487,eclipse-californium/californium
70549511,androidideofficial/androidide
70609544,apache/doris
73075489,eclipse-ditto/ditto
86523050,dragonwell-project/dragonwell8
88692524,apache/linkis
88694830,eclipse/xtext
94454865,discord-jda/jda
94537018,StarRocks/starrocks
94537119,portfolio-performance/portfolio
94602042,Nekogram/Nekogram
94953625,apache/amoro
95237309,eclipse-milo/milo
95307600,chinabugotech/hutool
95340292,eclipse-collections/eclipse-collections
