"id","name","isFork","commits","branches","releases","forks","mainLanguage","defaultBranch","license","homepage","watchers","stargazers","contributors","size","createdAt","pushedAt","updatedAt","totalIssues","openIssues","totalPullRequests","openPullRequests","blankLines","codeLines","commentLines","metrics","lastCommit","lastCommitSHA","hasWiki","isArchived","isDisabled","isLocked","languages","labels","topics"
"43630","jodaorg/joda-time",false,"2301","15","50","987","Java","main","Apache License 2.0","http://www.joda.org/joda-time/","216","4982","91","12937","2011-05-16T04:49:57","2025-03-29T01:20:36","2025-03-29T01:15:52","452","27","351","11","17642","98596","45161","[{""blankLines"":15815,""codeLines"":88362,""commentLines"":44913,""language"":""Java""},{""blankLines"":14,""codeLines"":1066,""commentLines"":47,""language"":""Maven""},{""blankLines"":0,""codeLines"":731,""commentLines"":3,""language"":""Properties""},{""blankLines"":158,""codeLines"":458,""commentLines"":0,""language"":""Markdown""},{""blankLines"":6,""codeLines"":18,""commentLines"":0,""language"":""Bourne Shell""},{""blankLines"":67,""codeLines"":231,""commentLines"":0,""language"":""Text""},{""blankLines"":1,""codeLines"":83,""commentLines"":5,""language"":""CSS""},{""blankLines"":47,""codeLines"":308,""commentLines"":96,""language"":""HTML""},{""blankLines"":0,""codeLines"":5,""commentLines"":0,""language"":""JSON""},{""blankLines"":49,""codeLines"":286,""commentLines"":8,""language"":""YAML""},{""blankLines"":1485,""codeLines"":7048,""commentLines"":89,""language"":""XML""}]","2025-03-29T01:15:47","20e94ae0b56d02abdbaa374912da6d01f5e1dc6f",false,false,false,false,"{""Java"":5927255,""HTML"":16833,""CSS"":1591,""Shell"":510}","bug;dependencies;discussion;fixed;hard;java8;needsinvestigation;notabug;rfe;task;tzdb;v3;wontfix","date-time;java;joda;joda-time"
"57469","querydsl/querydsl",false,"8083","71","35","879","Java","master","Apache License 2.0","https://querydsl.com","156","4861","109","51686","2011-08-05T06:46:32","2025-04-28T01:42:55","2025-04-29T03:04:11","2044","51","1705","51","36704","136776","45033","[{""blankLines"":15,""codeLines"":43,""commentLines"":2,""language"":""Puppet""},{""blankLines"":33062,""codeLines"":118922,""commentLines"":43598,""language"":""Java""},{""blankLines"":194,""codeLines"":869,""commentLines"":0,""language"":""Text""},{""blankLines"":29,""codeLines"":116,""commentLines"":54,""language"":""Properties""},{""blankLines"":182,""codeLines"":1111,""commentLines"":445,""language"":""Kotlin""},{""blankLines"":1221,""codeLines"":5211,""commentLines"":79,""language"":""XML""},{""blankLines"":9,""codeLines"":54,""commentLines"":4,""language"":""Bourne Shell""},{""blankLines"":1104,""codeLines"":2522,""commentLines"":405,""language"":""Scala""},{""blankLines"":8,""codeLines"":33,""commentLines"":6,""language"":""Clojure""},{""blankLines"":169,""codeLines"":594,""commentLines"":179,""language"":""XSLT""},{""blankLines"":23,""codeLines"":197,""commentLines"":7,""language"":""YAML""},{""blankLines"":194,""codeLines"":612,""commentLines"":28,""language"":""Markdown""},{""blankLines"":12,""codeLines"":57,""commentLines"":1,""language"":""Ant""},{""blankLines"":0,""codeLines"":1,""commentLines"":0,""language"":""SVG""},{""blankLines"":25,""codeLines"":125,""commentLines"":0,""language"":""SQL""},{""blankLines"":47,""codeLines"":188,""commentLines"":8,""language"":""CSS""},{""blankLines"":410,""codeLines"":6121,""commentLines"":217,""language"":""Maven""}]","2025-02-01T12:33:54","dd905aebf987599044e20b5822e7f035cee6a868",true,false,false,false,"{""Java"":6477027,""Scala"":135246,""Kotlin"":79478,""XSLT"":35687,""CSS"":3436,""Shell"":2068,""Clojure"":1890,""Puppet"":1212,""Ruby"":389}","backport;bug;codegen;dependencies;docs;feature;good first issue;hibernate;infra;java;jpa;mongo;needs tests;postponed;progress;question;resolved;security;spatial;sql;waiting-for-feedback;wontfix",""
"66892","opensagres/xdocreport",false,"1281","10","0","375","Java","master",,"https://github.com/opensagres/xdocreport","76","1241","58","27258","2011-09-21T08:16:38","2025-01-25T05:41:54","2025-01-25T05:42:03","444","312","252","24","22877","135487","57697","[{""blankLines"":17,""codeLines"":21,""commentLines"":0,""language"":""Markdown""},{""blankLines"":69,""codeLines"":205,""commentLines"":557,""language"":""Properties""},{""blankLines"":25,""codeLines"":101,""commentLines"":35,""language"":""YAML""},{""blankLines"":26,""codeLines"":99,""commentLines"":48,""language"":""Bourne Shell""},{""blankLines"":11,""codeLines"":220,""commentLines"":0,""language"":""Velocity Template Language""},{""blankLines"":21283,""codeLines"":111806,""commentLines"":55258,""language"":""Java""},{""blankLines"":156,""codeLines"":3351,""commentLines"":85,""language"":""Maven""},{""blankLines"":0,""codeLines"":12,""commentLines"":0,""language"":""JSON""},{""blankLines"":501,""codeLines"":15417,""commentLines"":306,""language"":""XML""},{""blankLines"":13,""codeLines"":28,""commentLines"":20,""language"":""HTML""},{""blankLines"":9,""codeLines"":42,""commentLines"":0,""language"":""Text""},{""blankLines"":12,""codeLines"":102,""commentLines"":0,""language"":""DOS Batch""},{""blankLines"":12,""codeLines"":69,""commentLines"":40,""language"":""XSD""},{""blankLines"":0,""codeLines"":27,""commentLines"":0,""language"":""SVG""},{""blankLines"":583,""codeLines"":2831,""commentLines"":984,""language"":""XSLT""},{""blankLines"":0,""codeLines"":150,""commentLines"":0,""language"":""Web Services Description""},{""blankLines"":111,""codeLines"":872,""commentLines"":231,""language"":""JavaScript""},{""blankLines"":35,""codeLines"":129,""commentLines"":80,""language"":""Freemarker Template""},{""blankLines"":14,""codeLines"":5,""commentLines"":53,""language"":""Ant""}]","2025-01-25T05:41:54","83a1262f4e0873e175ac998145e2ceda4c9d2be1",true,false,false,false,"{""Java"":7387040,""XSLT"":205200,""JavaScript"":56267,""FreeMarker"":9930,""Batchfile"":5077,""Shell"":4190,""HTML"":1831}","dependencies;question",""
"74674","gephi/gephi",false,"7720","51","19","1576","Java","master","GNU General Public License v3.0","http://gephi.org","259","6042","98","654674","2011-10-22T03:14:46","2025-03-05T08:09:06","2025-03-07T02:33:34","2553","504","218","15","38164","256151","62685","[{""blankLines"":0,""codeLines"":300,""commentLines"":0,""language"":""JSON""},{""blankLines"":33702,""codeLines"":131458,""commentLines"":60650,""language"":""Java""},{""blankLines"":9,""codeLines"":29,""commentLines"":41,""language"":""Swift""},{""blankLines"":9,""codeLines"":1588,""commentLines"":0,""language"":""HTML""},{""blankLines"":433,""codeLines"":7269,""commentLines"":190,""language"":""Maven""},{""blankLines"":4,""codeLines"":8473,""commentLines"":0,""language"":""CSV""},{""blankLines"":519,""codeLines"":40962,""commentLines"":106,""language"":""XML""},{""blankLines"":22,""codeLines"":53,""commentLines"":22,""language"":""Bourne Shell""},{""blankLines"":164,""codeLines"":29792,""commentLines"":164,""language"":""SVG""},{""blankLines"":277,""codeLines"":834,""commentLines"":39,""language"":""Markdown""},{""blankLines"":34,""codeLines"":275,""commentLines"":2,""language"":""YAML""},{""blankLines"":2485,""codeLines"":33381,""commentLines"":1471,""language"":""Properties""},{""blankLines"":506,""codeLines"":1737,""commentLines"":0,""language"":""Text""}]","2024-09-08T11:10:54","dbc674485e70d7fbd74ef8f8489c1b7ba3dab50f",true,false,false,false,"{""Java"":8569207,""HTML"":43123,""Inno Setup"":11062,""Swift"":2795,""Shell"":2098}","appearance;awaiting for response;can't reproduce;confirmed;critical;data laboratory;databases;dependencies;documentation;dynamics;export;filters;fix committed;gexf;good first issue;graphml;high;import;in-app report;installation;io;layouts;linux;localization;low;macos;medium;netbeans platform;not an issue;opengl;partition;pdf;plugin development;preview;question;sentry;specification;spreadsheet;startup;statistics;sustainability;svg;timeline;to reproduce;to review;toolkit;tools;ui;visualization;windows;wishlist;won't fix;workspaces","graph;graph-analytics;interactive;java;opengl;visualization"
"77382","chocoteam/choco-solver",false,"6582","30","38","146","Java","master","BSD 4-Clause Original or Old License","http://choco-solver.org/","47","717","33","87466","2011-11-04T09:09:18","2025-04-14T08:25:44","2025-04-15T08:11:01","656","51","464","18","24987","162481","54426","[{""blankLines"":375,""codeLines"":1027,""commentLines"":5,""language"":""Markdown""},{""blankLines"":10,""codeLines"":788,""commentLines"":0,""language"":""TeX""},{""blankLines"":100,""codeLines"":342,""commentLines"":78,""language"":""Bourne Shell""},{""blankLines"":813,""codeLines"":966,""commentLines"":1263,""language"":""reStructuredText""},{""blankLines"":0,""codeLines"":7,""commentLines"":0,""language"":""Gradle""},{""blankLines"":35,""codeLines"":235,""commentLines"":57,""language"":""YAML""},{""blankLines"":47,""codeLines"":254,""commentLines"":9,""language"":""make""},{""blankLines"":15,""codeLines"":552,""commentLines"":30,""language"":""XML""},{""blankLines"":23132,""codeLines"":154748,""commentLines"":51859,""language"":""Java""},{""blankLines"":0,""codeLines"":190,""commentLines"":568,""language"":""Jupyter Notebook""},{""blankLines"":36,""codeLines"":246,""commentLines"":3,""language"":""DOS Batch""},{""blankLines"":0,""codeLines"":287,""commentLines"":0,""language"":""CSV""},{""blankLines"":61,""codeLines"":367,""commentLines"":40,""language"":""ANTLR Grammar""},{""blankLines"":13,""codeLines"":35,""commentLines"":0,""language"":""Text""},{""blankLines"":240,""codeLines"":1039,""commentLines"":334,""language"":""Python""},{""blankLines"":14,""codeLines"":37,""commentLines"":7,""language"":""HTML""},{""blankLines"":19,""codeLines"":46,""commentLines"":18,""language"":""Dockerfile""},{""blankLines"":0,""codeLines"":21,""commentLines"":0,""language"":""MUMPS""},{""blankLines"":29,""codeLines"":101,""commentLines"":64,""language"":""Bourne Again Shell""},{""blankLines"":0,""codeLines"":302,""commentLines"":0,""language"":""SVG""},{""blankLines"":48,""codeLines"":891,""commentLines"":91,""language"":""Maven""}]","2025-02-17T05:13:04","f28bd85a132f236907135186338af88ab95d05bf",false,false,false,false,"{""Java"":7688762,""Python"":44717,""TeX"":43146,""Shell"":17998,""ANTLR"":9628,""Makefile"":3537,""R"":1393,""HTML"":1233,""JetBrains MPS"":597,""Batchfile"":119}","bug;dependencies;feature;good first issue;help wanted;java;regression;regular;support","constraint-optimisation-problem;constraint-programming;constraint-satisfaction-problem;constraint-solver;constraints;copr;csp;java;solver"
"87201","broadleafcommerce/broadleafcommerce",false,"18678","65","10","1267","Java","develop-7.0.x",,"http://www.broadleafcommerce.com","208","1764","79","299423","2011-12-09T05:53:52","2025-04-14T08:45:40","2025-04-15T09:32:51","1443","33","1592","11","70095","325381","126699","[{""blankLines"":29,""codeLines"":3365,""commentLines"":56,""language"":""Maven""},{""blankLines"":365,""codeLines"":2141,""commentLines"":1222,""language"":""Properties""},{""blankLines"":4,""codeLines"":703,""commentLines"":32,""language"":""SVG""},{""blankLines"":348,""codeLines"":2857,""commentLines"":742,""language"":""SQL""},{""blankLines"":14849,""codeLines"":69182,""commentLines"":18446,""language"":""JavaScript""},{""blankLines"":60,""codeLines"":173,""commentLines"":0,""language"":""Markdown""},{""blankLines"":423,""codeLines"":2953,""commentLines"":102,""language"":""HTML""},{""blankLines"":50,""codeLines"":554,""commentLines"":0,""language"":""XSD""},{""blankLines"":444,""codeLines"":1886,""commentLines"":0,""language"":""Text""},{""blankLines"":1029,""codeLines"":4252,""commentLines"":1599,""language"":""Groovy""},{""blankLines"":4055,""codeLines"":22964,""commentLines"":1486,""language"":""CSS""},{""blankLines"":11,""codeLines"":49,""commentLines"":1,""language"":""Velocity Template Language""},{""blankLines"":47165,""codeLines"":206884,""commentLines"":100506,""language"":""Java""},{""blankLines"":0,""codeLines"":28,""commentLines"":0,""language"":""JSON""},{""blankLines"":1263,""codeLines"":7390,""commentLines"":2507,""language"":""XML""}]","2025-03-06T03:07:51","d5bbb4bc5fd9441283c86f93774ac7d211b0d41b",true,false,false,false,"{""Java"":13821140,""JavaScript"":1426817,""CSS"":565554,""Groovy"":293888,""HTML"":200467}","affects-6.0.x-ga;affects-6.1.x-ga;dependencies;difficulty-easy;difficulty-hard;difficulty-medium;migration-recommended;migration-required;needs-information;p1;p2;ready-for-code-review;refactor target;severity-critical;severity-major;severity-medium;severity-minor;target-5.0.9-GA;target-5.0.9.3-OAP-JAVA11-GA;target-5.0.9.3-OAP-JAVA17-GA;target-5.0.x-ga;target-5.1.26-GA;target-5.1.x-ga;target-5.2.26-ga;target-5.2.x-ga;target-6.0.x-ga;target-6.1.x-ga;target-6.2.5-ga;target-6.2.7-ga;target-6.2.x-ga;target-7.0.2-GA;type-bug;type-enhancement;type-feature;type-security;will not fix","java;spring;spring-boot;spring-mvc;spring-security"
"90562","marytts/marytts",false,"4394","7","28","740","Java","master","Other","https://marytts.github.io/","134","2408","39","149964","2011-12-20T04:44:48","2025-01-17T06:26:22","2025-01-18T05:56:19","823","105","285","23","28358","149452","58298","[{""blankLines"":31,""codeLines"":90,""commentLines"":200,""language"":""make""},{""blankLines"":172,""codeLines"":691,""commentLines"":265,""language"":""C/C++ Header""},{""blankLines"":48,""codeLines"":153,""commentLines"":177,""language"":""Properties""},{""blankLines"":28,""codeLines"":136,""commentLines"":127,""language"":""Scheme""},{""blankLines"":12,""codeLines"":119,""commentLines"":1,""language"":""TeX""},{""blankLines"":55,""codeLines"":576,""commentLines"":35,""language"":""JavaScript""},{""blankLines"":1694,""codeLines"":10235,""commentLines"":1292,""language"":""Bourne Shell""},{""blankLines"":922,""codeLines"":4584,""commentLines"":1083,""language"":""Perl""},{""blankLines"":369,""codeLines"":3683,""commentLines"":0,""language"":""Text""},{""blankLines"":20,""codeLines"":6815,""commentLines"":0,""language"":""TNSDL""},{""blankLines"":205,""codeLines"":1079,""commentLines"":599,""language"":""Tcl/Tk""},{""blankLines"":48,""codeLines"":65,""commentLines"":158,""language"":""Awk""},{""blankLines"":359,""codeLines"":1344,""commentLines"":0,""language"":""M4""},{""blankLines"":65,""codeLines"":353,""commentLines"":134,""language"":""Python""},{""blankLines"":26,""codeLines"":86,""commentLines"":3,""language"":""DOS Batch""},{""blankLines"":432,""codeLines"":6129,""commentLines"":511,""language"":""XML""},{""blankLines"":18,""codeLines"":189,""commentLines"":54,""language"":""Ruby""},{""blankLines"":73,""codeLines"":256,""commentLines"":85,""language"":""YAML""},{""blankLines"":1007,""codeLines"":3930,""commentLines"":815,""language"":""C++""},{""blankLines"":101,""codeLines"":828,""commentLines"":6,""language"":""Gradle""},{""blankLines"":21,""codeLines"":135,""commentLines"":51,""language"":""DTD""},{""blankLines"":344,""codeLines"":799,""commentLines"":0,""language"":""Markdown""},{""blankLines"":162,""codeLines"":1305,""commentLines"":275,""language"":""XSLT""},{""blankLines"":3,""codeLines"":4,""commentLines"":4,""language"":""Bourne Again Shell""},{""blankLines"":173,""codeLines"":938,""commentLines"":51,""language"":""Groovy""},{""blankLines"":111,""codeLines"":377,""commentLines"":29,""language"":""HTML""},{""blankLines"":42,""codeLines"":749,""commentLines"":2,""language"":""XSD""},{""blankLines"":21817,""codeLines"":103804,""commentLines"":52341,""language"":""Java""}]","2025-01-17T06:26:22","f3389a195015e28804cac44411489e87c8741f12",false,false,false,false,"{""Java"":6018355,""XSLT"":67472,""Groovy"":35697,""JavaScript"":21840,""HTML"":16464,""Raku"":3580,""TeX"":3344,""Shell"":611,""Batchfile"":526}","bug;duplicate;enhancement;feature request;invalid;more info needed;newlanguage;no response;question;voicebuilding;wontfix;worksforme","java;speech-synthesis;text-to-speech;tts"
"152545","plutext/docx4j",false,"4013","54","0","1214","Java","VERSION_11_5_2",,"https://www.docx4java.org/","108","2194","35","155318","2012-05-11T10:13:30","2025-04-17T12:01:57","2025-04-17T02:16:19","465","195","143","28","124927","514605","396999","[{""blankLines"":18,""codeLines"":54,""commentLines"":14,""language"":""Visual Basic Script""},{""blankLines"":646,""codeLines"":2499,""commentLines"":1034,""language"":""Maven""},{""blankLines"":21,""codeLines"":52,""commentLines"":0,""language"":""DTD""},{""blankLines"":94,""codeLines"":385,""commentLines"":335,""language"":""Properties""},{""blankLines"":39,""codeLines"":331,""commentLines"":50,""language"":""C#""},{""blankLines"":253,""codeLines"":571,""commentLines"":354,""language"":""Ant""},{""blankLines"":1824,""codeLines"":5015,""commentLines"":1733,""language"":""XSLT""},{""blankLines"":1543,""codeLines"":2238,""commentLines"":174,""language"":""Markdown""},{""blankLines"":23,""codeLines"":62,""commentLines"":11,""language"":""JavaScript""},{""blankLines"":0,""codeLines"":25,""commentLines"":0,""language"":""INI""},{""blankLines"":5996,""codeLines"":21031,""commentLines"":625,""language"":""HTML""},{""blankLines"":57,""codeLines"":344,""commentLines"":11,""language"":""ANTLR Grammar""},{""blankLines"":305,""codeLines"":703,""commentLines"":0,""language"":""Text""},{""blankLines"":1669,""codeLines"":67954,""commentLines"":1666,""language"":""XSD""},{""blankLines"":121,""codeLines"":1143,""commentLines"":0,""language"":""CSS""},{""blankLines"":109128,""codeLines"":352986,""commentLines"":389824,""language"":""Java""},{""blankLines"":76,""codeLines"":1732,""commentLines"":642,""language"":""Diff""},{""blankLines"":0,""codeLines"":275,""commentLines"":0,""language"":""XHTML""},{""blankLines"":3114,""codeLines"":57205,""commentLines"":526,""language"":""XML""}]","2025-01-24T07:40:23","0a8104da81348ae872d57e9c206a3729d3728e8d",true,false,false,false,"{""Java"":26012070,""XSLT"":320808,""HTML"":95287,""C#"":37270,""CSS"":26317,""GAP"":6427,""VBScript"":2678,""JavaScript"":2255}","bug;duplicate;enhancement;invalid;question;wontfix",""
"157212","thymeleaf/thymeleaf",false,"5400","11","6","502","Java","3.1-master","Apache License 2.0","http://www.thymeleaf.org","125","2824","32","46014","2012-05-20T03:11:32","2024-12-16T11:03:40","2024-12-17T05:36:02","885","113","87","9","50079","128285","57614","[{""blankLines"":12,""codeLines"":39,""commentLines"":0,""language"":""JSP""},{""blankLines"":382,""codeLines"":805,""commentLines"":25,""language"":""Markdown""},{""blankLines"":299,""codeLines"":1579,""commentLines"":209,""language"":""XML""},{""blankLines"":0,""codeLines"":14,""commentLines"":0,""language"":""YAML""},{""blankLines"":206,""codeLines"":1040,""commentLines"":0,""language"":""Text""},{""blankLines"":83,""codeLines"":348,""commentLines"":0,""language"":""CSS""},{""blankLines"":2339,""codeLines"":19904,""commentLines"":18,""language"":""HTML""},{""blankLines"":45772,""codeLines"":100055,""commentLines"":56201,""language"":""Java""},{""blankLines"":28,""codeLines"":187,""commentLines"":40,""language"":""Properties""},{""blankLines"":958,""codeLines"":4314,""commentLines"":1121,""language"":""Maven""}]","2024-12-16T11:01:39","4a94aa8d42e24e544ca9092c4d086f580dcf1f16",false,false,false,false,"{""Java"":7009066,""HTML"":831981}","backlog:thymeleaf21;backlog:thymeleaf30;backlog:thymeleaf31;backlog:thymeleaf40;future;help wanted;in progress;info needed;needs triage;priority:high;status:abandoned;status:answered;status:declined;status:developed;status:done;status:feedback;status:inprogress;status:insnapshot;status:pending;status:published;status:solved;status:underevaluation;status:written;tracker:feature;tracker:problem;tracker:question;tracker:task","html;java;javascript;server-side-rendering;template-engine;thymeleaf;thymeleaf-template-engine;xml"
"221254","apache/drill",false,"4531","42","31","977","Java","master","Apache License 2.0","https://drill.apache.org/","149","1962","162","71276","2012-09-05T07:00:26","2025-04-10T07:02:56","2025-04-10T07:03:18","150","70","2833","54","127817","890859","216912","[{""blankLines"":1,""codeLines"":4,""commentLines"":17,""language"":""HCL""},{""blankLines"":3337,""codeLines"":34908,""commentLines"":4409,""language"":""C/C++ Header""},{""blankLines"":4,""codeLines"":17,""commentLines"":55,""language"":""Properties""},{""blankLines"":92,""codeLines"":1285,""commentLines"":40,""language"":""SQL""},{""blankLines"":375,""codeLines"":1364,""commentLines"":1074,""language"":""Bourne Shell""},{""blankLines"":0,""codeLines"":6073,""commentLines"":0,""language"":""CSV""},{""blankLines"":36,""codeLines"":187,""commentLines"":32,""language"":""DOS Batch""},{""blankLines"":108,""codeLines"":522,""commentLines"":82,""language"":""ANTLR Grammar""},{""blankLines"":263,""codeLines"":11232,""commentLines"":447,""language"":""JavaScript""},{""blankLines"":8,""codeLines"":62,""commentLines"":0,""language"":""INI""},{""blankLines"":96,""codeLines"":1448,""commentLines"":0,""language"":""Text""},{""blankLines"":178,""codeLines"":538,""commentLines"":114,""language"":""C""},{""blankLines"":271,""codeLines"":2677,""commentLines"":896,""language"":""XML""},{""blankLines"":3727,""codeLines"":34591,""commentLines"":3473,""language"":""C++""},{""blankLines"":475,""codeLines"":4652,""commentLines"":636,""language"":""Freemarker Template""},{""blankLines"":39,""codeLines"":701,""commentLines"":195,""language"":""YAML""},{""blankLines"":173,""codeLines"":882,""commentLines"":468,""language"":""Protocol Buffers""},{""blankLines"":98,""codeLines"":349,""commentLines"":220,""language"":""CMake""},{""blankLines"":2709,""codeLines"":9494,""commentLines"":15,""language"":""Markdown""},{""blankLines"":114891,""codeLines"":630336,""commentLines"":203089,""language"":""Java""},{""blankLines"":16,""codeLines"":130,""commentLines"":19,""language"":""XSD""},{""blankLines"":80,""codeLines"":298,""commentLines"":292,""language"":""Bourne Again Shell""},{""blankLines"":99,""codeLines"":137587,""commentLines"":0,""language"":""JSON""},{""blankLines"":48,""codeLines"":130,""commentLines"":125,""language"":""Dockerfile""},{""blankLines"":675,""codeLines"":11331,""commentLines"":1166,""language"":""Maven""},{""blankLines"":13,""codeLines"":46,""commentLines"":33,""language"":""CSS""},{""blankLines"":5,""codeLines"":15,""commentLines"":15,""language"":""HTML""}]","2025-04-10T07:02:56","a893d90d1d47eb6ac026f90b3163f6dec25f7e90",true,false,false,false,"{""Java"":35271373,""C++"":595697,""FreeMarker"":211452,""Shell"":119820,""JavaScript"":83288,""C"":32938,""CMake"":25162,""ANTLR"":22729,""Dockerfile"":9485,""Batchfile"":7541,""CSS"":1557,""HTML"":1398,""HCL"":848}","access-controls;arm-based;backport-to-stable;blocked;breaking;bug;calcite-update;ci;code-cleanup;dependencies;doc-impacting;documentation;duplicate;enhancement;fixed in current version;fixed in next version;invalid;json;minor-update;mvn;new-format;new-storage;newcomers;performance;question;refactoring;reference;regression;revisit;security;stability;to-be-verified;udf;ui;updates;verified;wontfix","big-data;drill;hadoop;hive;java;jdbc;parquet;sql"
